Series/Set,Name,Price(>150.0<200.0),Image
swsh04-vivid-voltage,Pikachu VMAX (Secret),$177.25,https://tcgplayer-cdn.tcgplayer.com/product/226434_25w.jpg
skyridge,Magneton (H18),$155.90,https://tcgplayer-cdn.tcgplayer.com/product/87095_25w.jpg
skyridge,Forretress (H8),$180.99,https://tcgplayer-cdn.tcgplayer.com/product/85543_25w.jpg
skyridge,Machamp (H15),$178.15,https://tcgplayer-cdn.tcgplayer.com/product/86958_25w.jpg
skyridge,Rhydon (H27),$176.16,https://tcgplayer-cdn.tcgplayer.com/product/88728_25w.jpg
expedition,Blastoise (4),$199.90,https://tcgplayer-cdn.tcgplayer.com/product/83888_25w.jpg
expedition,Dragonite (9),$177.84,https://tcgplayer-cdn.tcgplayer.com/product/84910_25w.jpg
expedition,Mew (19),$194.49,https://tcgplayer-cdn.tcgplayer.com/product/87396_25w.jpg
gym-challenge,Giovanni's Gyarados,$184.47,https://tcgplayer-cdn.tcgplayer.com/product/85710_25w.jpg
gym-challenge,Blaine's Arcanine,$186.66,https://tcgplayer-cdn.tcgplayer.com/product/83860_25w.jpg
gym-challenge,Misty's Gyarados,$160.47,https://tcgplayer-cdn.tcgplayer.com/product/87531_25w.jpg
gym-challenge,Rocket's Zapdos,$159.99,https://tcgplayer-cdn.tcgplayer.com/product/88800_25w.jpg
gym-heroes,Erika's Dragonair,$185.49,https://tcgplayer-cdn.tcgplayer.com/product/85290_25w.jpg
gym-heroes,Blaine's Moltres,$198.49,https://tcgplayer-cdn.tcgplayer.com/product/83875_25w.jpg
swsh09-brilliant-stars,Charizard VSTAR (Secret),$165.23,https://tcgplayer-cdn.tcgplayer.com/product/263893_25w.jpg
swsh09-brilliant-stars,Charizard V (Alternate Full Art),$191.30,https://tcgplayer-cdn.tcgplayer.com/product/263873_25w.jpg
sm-unbroken-bonds,Reshiram & Charizard GX (Secret),$163.08,https://tcgplayer-cdn.tcgplayer.com/product/189319_25w.jpg
plasma-freeze,Garchomp (120 Secret Rare),$159.65,https://tcgplayer-cdn.tcgplayer.com/product/85626_25w.jpg
arceus,Ponyta (Shiny),$159.00,https://tcgplayer-cdn.tcgplayer.com/product/88291_25w.jpg
emerald,Milotic ex,$165.00,https://tcgplayer-cdn.tcgplayer.com/product/87460_25w.jpg
team-magma-vs-team-aqua,Absol,$157.48,https://tcgplayer-cdn.tcgplayer.com/product/83450_25w.jpg
team-magma-vs-team-aqua,Raikou ex,$157.95,https://tcgplayer-cdn.tcgplayer.com/product/88540_25w.jpg
team-magma-vs-team-aqua,Entei ex,$173.08,https://tcgplayer-cdn.tcgplayer.com/product/85278_25w.jpg
team-rocket,Dark Dragonite (5),$171.95,https://tcgplayer-cdn.tcgplayer.com/product/84584_25w.jpg
fossil,Gengar (5),$162.82,https://tcgplayer-cdn.tcgplayer.com/product/106521_25w.jpg
base-set-shadowless,Beedrill,$174.75,https://tcgplayer-cdn.tcgplayer.com/product/107012_25w.jpg
base-set-shadowless,Lass,$199.99,https://tcgplayer-cdn.tcgplayer.com/product/107071_25w.jpg
firered-and-leafgreen,Charizard ex,$184.55,https://tcgplayer-cdn.tcgplayer.com/product/84199_25w.jpg
firered-and-leafgreen,Gengar ex,$166.70,https://tcgplayer-cdn.tcgplayer.com/product/85680_25w.jpg
firered-and-leafgreen,Venusaur ex,$151.18,https://tcgplayer-cdn.tcgplayer.com/product/90323_25w.jpg
legend-maker,Arcanine ex,$167.99,https://tcgplayer-cdn.tcgplayer.com/product/83590_25w.jpg
nintendo-promos,Tropical Wind,$175.00,https://tcgplayer-cdn.tcgplayer.com/product/90053_25w.jpg
nintendo-promos,Gyarados (Prerelease Promo),$174.95,https://tcgplayer-cdn.tcgplayer.com/product/239090_25w.jpg
team-rocket-returns,Here Comes Team Rocket!,$155.00,https://tcgplayer-cdn.tcgplayer.com/product/86075_25w.jpg
team-rocket-returns,Rocket's Moltres ex,$154.95,https://tcgplayer-cdn.tcgplayer.com/product/88782_25w.jpg
aquapolis,Espeon (H9),$191.09,https://tcgplayer-cdn.tcgplayer.com/product/85317_25w.jpg
aquapolis,Suicune (H25),$189.19,https://tcgplayer-cdn.tcgplayer.com/product/89598_25w.jpg
aquapolis,Umbreon (H29),$151.49,https://tcgplayer-cdn.tcgplayer.com/product/90139_25w.jpg
deoxys,Latias Star,$191.43,https://tcgplayer-cdn.tcgplayer.com/product/86658_25w.jpg
champions-path,Charizard V (Secret),$162.43,https://tcgplayer-cdn.tcgplayer.com/product/223078_25w.jpg
swsh-sword-and-shield-promo-cards,Special Delivery Bidoof,$176.99,https://tcgplayer-cdn.tcgplayer.com/product/247386_25w.jpg
