Set,Name,Price(>400.0<1.7976931348623157e+308),Image
skyridge,Celebi,$649.99,https://tcgplayer-cdn.tcgplayer.com/product/84144_25w.jpg
skyridge,Articuno (H3),$611.48,https://tcgplayer-cdn.tcgplayer.com/product/83644_25w.jpg
gym-challenge,Blaine's Charizard,"$1,199.99",https://tcgplayer-cdn.tcgplayer.com/product/83861_25w.jpg
xy-promos,Charizard (XY Evolutions Staff Prerelease),$850.99,https://tcgplayer-cdn.tcgplayer.com/product/126023_25w.jpg
xy-promos,Charizard (XY Evolutions Prerelease),$594.99,https://tcgplayer-cdn.tcgplayer.com/product/126022_25w.jpg
plasma-storm,Charizard,$518.82,https://tcgplayer-cdn.tcgplayer.com/product/84193_25w.jpg
crystal-guardians,Celebi Star,$498.67,https://tcgplayer-cdn.tcgplayer.com/product/84149_25w.jpg
team-rocket,Dark Charizard (4),$557.89,https://tcgplayer-cdn.tcgplayer.com/product/84572_25w.jpg
base-set-shadowless,Blastoise,$622.50,https://tcgplayer-cdn.tcgplayer.com/product/106997_25w.jpg
base-set-shadowless,Gyarados,$489.99,https://tcgplayer-cdn.tcgplayer.com/product/107000_25w.jpg
base-set-shadowless,Mewtwo,$524.99,https://tcgplayer-cdn.tcgplayer.com/product/107005_25w.jpg
black-and-white-promos,Tropical Beach (Top 16 - BW50),$600.00,https://tcgplayer-cdn.tcgplayer.com/product/96876_25w.jpg
black-and-white-promos,Tropical Beach (Staff),$450.00,https://tcgplayer-cdn.tcgplayer.com/product/96874_25w.jpg
black-and-white-promos,Tropical Beach (Top 16),$645.00,https://tcgplayer-cdn.tcgplayer.com/product/96870_25w.jpg
team-rocket-returns,Treecko Star,$499.99,https://tcgplayer-cdn.tcgplayer.com/product/90046_25w.jpg
wotc-promo,Pokemon Center,$600.64,https://tcgplayer-cdn.tcgplayer.com/product/88213_25w.jpg
aquapolis,Lugia,$700.83,https://tcgplayer-cdn.tcgplayer.com/product/86905_25w.jpg
swsh-sword-and-shield-promo-cards,Charizard - SWSH066 (Prerelease Promo) [Staff],$565.13,https://tcgplayer-cdn.tcgplayer.com/product/224366_25w.jpg
